"path","entropy","isSuspicious"
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/bsh-2.0b6.jar",7.95533,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/junit-platform-launcher-1.8.2.jar",7.85574,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-testing-base-8.9.jar",7.81201,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/jatl-0.2.3.jar",7.87288,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/maven-repository-metadata-3.9.5.jar",7.85405,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-configuration-cache-base-8.9.jar",7.76811,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-stdlib-kotlin-extensions-8.9.jar",7.59404,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-wrapper-main-8.9.jar",7.98482,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-configuration-problems-base-8.9.jar",7.83926,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-plugins-application-8.9.jar",7.81167,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/jcommander-1.78.jar",7.8825,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/aws-java-sdk-s3-1.12.651.jar",7.88237,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/plexus-sec-dispatcher-2.0.jar",7.74102,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-publish-8.9.jar",7.81198,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/sshd-sftp-2.12.1.jar",7.93628,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-testing-native-8.9.jar",7.79215,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/org.eclipse.jgit.ssh.apache-5.13.3.202401111512-r.jar",7.91029,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-scala-8.9.jar",7.8873,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/google-api-services-storage-v1-rev20220705-1.32.1.jar",7.90353,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/aws-java-sdk-core-1.12.651.jar",7.87223,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-core-serialization-codecs-8.9.jar",7.90636,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-testing-base-infrastructure-8.9.jar",7.69246,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-language-groovy-8.9.jar",7.84147,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/maven-builder-support-3.9.5.jar",7.70829,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-reporting-8.9.jar",7.89043,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/opentest4j-1.3.0.jar",7.81693,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-base-ide-plugins-8.9.jar",7.73328,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-ide-plugins-8.9.jar",7.88066,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/org.eclipse.jgit-5.13.3.202401111512-r.jar",7.93361,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-resources-gcs-8.9.jar",7.70123,No
"/home/sandeep/.gradle/wrapper/dists/gradle-8.9-bin/90cnw93cvbtalezasaz0blq0a/gradle-8.9/lib/plugins/gradle-kotlin-dsl-provider-plugins-8.9.jar",7.86741,No
